rpm, speed, ratio, accel, gear
1837.5,15,1.80,4
901.5,14,0.46,3
863.25,13,-1.28,3
869.5,9,-1.80,6
850.0,10,-0.62,5
977.25,14,-0.64,4
1032.0,15,-1.28,2
1241.25,18,0.00,3
832.0,11,1.29,1
1032.0,15,-0.18,2
1289.0,19,0.33,2
1228.75,21,0.50,2
935.75,15,-0.18,2
1020.25,16,0.15,2
922.5,15,-0.01,2
887.5,15,0.00,2
1735.75,13,2.26,4
2104.5,14,-0.60,4
2817.0,18,0.01,4
1694.5,22,-1.07,4
1620.25,23,0.97,4
1920.25,29,2.25,4
2168.75,32,0.98,4
1127.25,30,0.00,5
1037.5,27,0.61,5
922.5,24,0.13,5
864.75,16,-3.41,6
867.75,7,-2.01,6
